pool_hash;ticker;name;cluster_id;cluster_name
60397646d7d1ad6fe2ddccfe7efc9cba61f6d3d94d29e8f41de73240;KIWI;KIWI by Kiwipool Staking;56;kiwipool.org
83b259c187f8b88eda564b1f56ce2786360a9dc224f737fcdd8703c1;ADAGE;ADAGE;;
566eb6f2974a521c8105d1d0b08313933d7726515c2e6c38ff447cb0;ATOM;Atom Stake Pool;;
6879ab43e837d11c606e37dbf3e743f13f303c9dff53be602f263d6d;FARM;ADA Farm;;
a6d3691e1ff660bc6f6da75feea466a26b7f8a21c0f41d74940a7639;DOXA;DOXA;;
aa3d1049e013e84d811e684b63378790fdce0b7a16a71938c1602164;TWIN1;twin staking;;
a531c8c1fa9423ffa6eff3262c87ab4f18b8c290f71df6aca310a947;SPS;StakePool Service;5;stakepoolservice.com
c1cadab46b74defa9f79b59b617fe2a50bdbce6b367e472b6109a7bc;CLIO1;CLIO1;;
32cfd0c41c8ab66ecf56edf3001a96cdabf7515ca5c01508306a216c;AKIBA;Akiba Stake Pool;;
71a659c3e71b0ddd0cf9a67bdb3f7fd656934c4a995801ee0ea4c482;EKTRP;Ektropy;;
6677b2ac1ef702d2ef4e5f3d96b8ee5cb9126e7c015c2ac7099c680b;CNT;CoinTourage Pool;;
0000fc522cea692e3e714b392d90cec75e4b87542c5f9638bf9a363a;ANP;ADA NORTH POOL;;
eaa778d97077ff7725fe4cbb70b514d840407a45a3c244ac05f6a83d;OCEAN;ADA Ocean;3;adaocean.com
0e95ebdf3855fba77340fc7dec46ecaee4d569deffde6239591227cd;PMW;PMWare_Pool;;
2b0217f1b7d017ca35856ba10eec105acde17a65dfd4ecb75e93c2db;GIGA;GIGA POS Pool;;
78380abbe8bb86cddda2c79190294125c594630e9535d32907b99f89;SPS2;StakePool Service No.2;5;stakepoolservice.com
df106c9f4178749167305dda2b72d1b94cb9b535d90b814f665ec2ce;Kings;Ada Kings;;
b62ecc8ce7e46c4443b63b91fffaeb19f869d191a7d2381087aaa768;STKH1;Stakhanovite #1;;
0a156f7c3a768ecfb1a4c710a26391dd86b78aa959ba4aa0e2c5e47f;VJRAS;Love_over_Gold;;
4511bcca3896bcb6d43b66fb89fe079f00f44bed505c9ca232704dc9;SKY;SkyLightPool.com;17;skylightpool.com
788898a81174665316af96880459dcca053f7825abb1b0db9a433630;XSP;X-StakePool;;
675304517e38e66880714b3c4816f47866c302edafceb96945fd056f;SKY2;SkyLightPool.com;17;skylightpool.com
660f2b816e90e4e826daebf33357d76ab89414f88d57dd7d9f7898fe;MDS;Medusa AdaWallet pool;;
cd4e5544ade6727692d2f6646f377d1416e9e89a724d87da5d33a97b;MINT;Colorado Mint;;
bbfb301cad22e7a62f6fea6e3c93aec4e6f714aef66b0a828e792f12;W4ADA;Whales4ADA;;
628775f4d0a53f00f542dd108cf2f0eb33e9997c3bde49a23a9e530a;CENT1;Stake Pool Central;62;cent.stakepoolcentral.com
91e73016519a2fad516434136924df004727a560a76513efe6f41979;UPS;ups;26;chainups.com
921dc3fc11681ad9ccde08c9bc23041808f4b7e8ba231be557db8ab5;TRUFL;Truffière by Kiwipool Staking;56;kiwipool.org
0014cda8c1c48b64d542ae26e8b65d9e1953c0d5562ee620d6900f4c;CROWN;CROWN Stake Pool;39;stakeadacoins.io
693cb17b244a81dfaa589c2a076ea604e35462a3915a28d6c98685c9;CSP;Capital Stake Pool - live long and prosper.;;
abacadaba9f12a8b5382fc370e4e7e69421fb59831bb4ecca3a11d9b;SMAUG;SM₳UG;;
32de28d12fdc3465d06783aeb6a8d826c0665aaad9d36a00e99b8f79;AYE;AYE;51;cardanostakeada.com
6c00635737171bfe9112a07d4c857668a3613b18b14034aebd03d5da;STDN;Standardize Network;;
